id	title	meter	full	p1	p2	p3	p4	pr_p1	pr_p2	pr_p3	pr_p4	needs_split_practice	has_p12	has_p34	mode	artha_sa	meaning_en
ak_01_001	मङ्गलाचरणम् 		अथ नामलिङ्गानुशासनं नाम अमरकोषः । प्रथम काण्डम् | यस्य ज्ञानदयासिंधोरगाधस्यानघा गुणाः|  सेव्यतामक्षयो धीराः स श्रिये चामृताय च ॥	अथ नामलिङ्गानुशासनं नाम अमरकोषः । प्रथम काण्डम् । यस्य ज्ञानदयासिंधोरगाधस्यानघा गुणाः ।		सेव्यतामक्षयो धीराः स श्रिये चामृताय च ॥१॥						TRUE	TRUE	TRUE			
ak_01_002	चिकीर्षतप्रतिज्ञा		समाहृत्यान्यतन्त्राणि संक्षिप्तैः प्रतिसंस्कृतैः । संपूर्णमुच्यते वर्गैर्नामलिङ्गानुशासनम् ॥	समाहृत्यान्यतन्त्राणि संक्षिप्तैः प्रतिसंस्कृतैः ।		संपूर्णमुच्यते वर्गैर्नामलिङ्गानुशासनम् ॥२॥						TRUE	TRUE	TRUE			
ak_01_003	परिभाषा 1		प्रायशो रूपभेदेन साहचर्याच्च कुत्रचित् । स्त्रीपुंनपुंसकं ज्ञेयं तद्विशेषविधेः क्वचित् ॥	प्रायशो रूपभेदेन साहचर्याच्च कुत्रचित् ।		स्त्रीपुंनपुंसकं ज्ञेयं तद्विशेषविधेः क्वचित् ॥३॥						TRUE	TRUE	TRUE			
ak_01_004	परिभाषा 2		भेदाख्यानाय न द्वन्द्वो नैकशेषो न संकरः । कृतोऽत्र भिन्नलिङ्गानामनुक्तानां क्रमादृते ॥	भेदाख्यानाय न द्वन्द्वो नैकशेषो न संकरः ।		कृतोऽत्र भिन्नलिङ्गानामनुक्तानां क्रमादृते ॥४॥						TRUE	TRUE	TRUE			
ak_01_005	परिभाषा 3		त्रिलिङ्ग्यां त्रिष्विति पदं मिथुने तु द्वयोरिति । निषिद्धलिङ्गं शेषार्थं त्वन्ताथादि न पूर्वभाक् ॥	त्रिलिङ्ग्यां त्रिष्विति पदं मिथुने तु द्वयोरिति ।		निषिद्धलिङ्गं शेषार्थं त्वन्ताथादि न पूर्वभाक् ॥५॥						TRUE	TRUE	TRUE			
ak_01_006	स्वर्गवर्गः 1		स्वरव्ययं स्वर्गनाकत्रिदिवत्रिदशालयाः । सुरलोको द्योदिवौ द्वे स्त्रियां क्लीबे त्रिविष्टपम् ॥६॥	स्वरव्ययं स्वर्गनाकत्रिदिवत्रिदशालयाः ।		सुरलोको द्योदिवौ द्वे स्त्रियां क्लीबे त्रिविष्टपम् ॥६॥						TRUE	TRUE	TRUE			
ak_01_007	स्वर्गवर्गः 2		अमरा निर्जरा देवास्त्रिदशा विबुधाः सुराः । सुपर्वाणः सुमनसस्त्रिदिवेशा दिवौकसः ॥७॥	अमरा निर्जरा देवास्त्रिदशा विबुधाः सुराः ।		सुपर्वाणः सुमनसस्त्रिदिवेशा दिवौकसः ॥७॥						TRUE	TRUE	TRUE			
ak_01_008	स्वर्गवर्गः 3		आदितेया दिविषदो लेखा अदितिनन्दनाः । आदित्या ऋभवोऽस्वप्ना अमर्त्या अमृतान्धसः ॥८॥	आदितेया दिविषदो लेखा अदितिनन्दनाः ।		आदित्या ऋभवोऽस्वप्ना अमर्त्या अमृतान्धसः ॥८॥						TRUE	TRUE	TRUE			
ak_01_009	स्वर्गवर्गः 4		बर्हिर्मुखाः क्रतुभुजो गीर्वाणा दानवारयः । वृन्दारका दैवतानि पुंसि वा देवताः स्त्रियाम् ॥९॥	बर्हिर्मुखाः क्रतुभुजो गीर्वाणा दानवारयः ।		वृन्दारका दैवतानि पुंसि वा देवताः स्त्रियाम् ॥९॥						TRUE	TRUE	TRUE			
ak_01_010	स्वर्गवर्गः 5		आदित्यविश्ववसवस्तुषिताभास्वरानिलाः । महाराजिकसाध्याश्च रुद्राश्च गणदेवताः ॥१०॥	आदित्यविश्ववसवस्तुषिताभास्वरानिलाः ।		महाराजिकसाध्याश्च रुद्राश्च गणदेवताः ॥१०॥						TRUE	TRUE	TRUE			
